date,average,industry
2010-11,1235.557,Tech
2010-12,1414.433,Tech
2011-01,1488.649,Tech
2011-02,1471.183,Tech
2011-03,1395.796,Tech
2011-04,1408.028,Tech
2011-05,1389.2,Tech
2011-06,1322.581,Tech
2011-07,1328.358,Tech
2011-08,1165.375,Tech
2011-09,1222.662,Tech
2011-10,1395.668,Tech
2011-11,1513.418,Tech
2011-12,1633.257,Tech
2012-01,1663.973,Tech
2012-02,1759.654,Tech
2012-03,1931.619,Tech
2012-04,2037.143,Tech
2012-05,1992.117,Tech
2012-06,1898.654,Tech
2012-07,1830.616,Tech
2012-08,1995.461,Tech
2012-09,2003.956,Tech
2012-10,2064.864,Tech
2012-11,2126.936,Tech
2012-12,2309.281,Tech
2013-01,2325.382,Tech
2013-02,2331.916,Tech
2013-03,2351.591,Tech
2013-04,2361.196,Tech
2013-05,2355.163,Tech
2013-06,2167.557,Tech
2013-07,2029.834,Tech
2013-08,2008.731,Tech
2013-09,2159.427,Tech
2013-10,2274.458,Tech
2013-11,2295.374,Tech
2013-12,2234.444,Tech
2014-01,2064.341,Tech
2014-02,2064.222,Tech
2014-03,2067.192,Tech
2014-04,2186.336,Tech
2014-05,2237.677,Tech
2014-06,2184.119,Tech
2014-07,2116.232,Tech
2014-08,2009.457,Tech
2014-09,1904.183,Tech
2014-10,1796.679,Tech
2014-11,1948.177,Tech
2014-12,2090.692,Tech
2015-01,2177.564,Tech
2015-02,2210.16,Tech
2015-03,2341.838,Tech
2015-04,2331.026,Tech
2015-05,2170.763,Tech
2015-06,2078.558,Tech
2015-07,2027.856,Tech
2015-08,1823.403,Tech
2015-09,1834.094,Tech
2015-10,2030.714,Tech
2015-11,2129.834,Tech
2015-12,2079.754,Tech
2016-01,1908.326,Tech
2016-02,1920.936,Tech
2016-03,2067.648,Tech
2016-04,2112.579,Tech
2016-05,2104.963,Tech
2016-06,2311.225,Tech
2016-07,2465.603,Tech
2016-08,2625.329,Tech
2016-09,2605.553,Tech
2016-10,2643.899,Tech
2016-11,2673.436,Tech
2016-12,2924.159,Tech
2017-01,3126.023,Tech
2017-02,3217.229,Tech
2017-03,3433.325,Tech
2017-04,3510.189,Tech
2017-05,3808.721,Tech
2017-06,3894.968,Tech
2017-07,4139.315,Tech
2017-08,3930.566,Tech
2017-09,4210.61,Tech
2017-10,4534.334,Tech
2017-11,4657.125,Tech
2017-12,4274.944,Tech
2018-01,4250.51,Tech
2018-02,4021.693,Tech
2018-03,4232.39,Tech
2018-04,4299.518,Tech
2018-05,4382.801,Tech
2018-06,4158.738,Tech
2018-07,4005.088,Tech
2018-08,3983.446,Tech
2018-09,3998.693,Tech
2018-10,3809.615,Tech
2018-11,3791.335,Tech
2018-12,3484.036,Tech
2019-01,3668.061,Tech
2019-02,4080.565,Tech
2019-03,3934.686,Tech
2019-04,4096.414,Tech
2019-05,3830.379,Tech
2019-06,3994.605,Tech
2019-07,4145.742,Tech
2019-08,3934.066,Tech
2019-09,4241.787,Tech
2019-10,4496.715,Tech
2019-11,4709.449,Tech
2019-12,4829.736,Tech
2020-01,5336.762,Tech
2020-02,5365.168,Tech
2020-03,4572.557,Tech
2020-04,4492.201,Tech
2020-05,4506.775,Tech
2020-06,4866.564,Tech
2020-07,5059.672,Tech
2020-08,5271.118,Tech
2020-09,5387.03,Tech
2020-10,5560.1,Tech
2020-11,5893.477,Tech
2020-12,6839.162,Tech
2021-01,8194.293,Tech
2021-02,7881.672,Tech
2021-03,7779.846,Tech
2021-04,7966.141,Tech
2021-05,7674.915,Tech
2021-06,7743.188,Tech
2021-07,7642.176,Tech
2021-08,7409.288,Tech
2021-09,7347.527,Tech
2021-10,6836.375,Tech
2021-11,6940.325,Tech
2021-12,7525.988,Tech
2022-01,7412.305,Tech
2022-02,7140.266,Tech
2022-03,6827.113,Tech
2022-04,6568.011,Tech
2022-05,6507.444,Tech
2022-06,5958.484,Tech
2022-07,5840.629,Tech
2022-08,5919.793,Tech
2022-09,5454.096,Tech
2022-10,5589.228,Tech
2022-11,6016.437,Tech
2022-12,5825.12,Tech
2023-01,6003.644,Tech
2023-02,6180.456,Tech
2023-03,6075.143,Tech
2023-04,6476.758,Tech
2023-05,6680.491,Tech
2023-06,7168.519,Tech
2023-07,7176.401,Tech
2023-08,6814.191,Tech
2023-09,7062.403,Tech
2023-10,6868.734,Tech
2023-11,7228.178,Tech
2023-12,7476.505,Tech
2024-01,7574.705,Tech
2024-02,7503.173,Tech
2024-03,7711.047,Tech
2024-04,8214.842,Tech
2024-05,7939.55,Tech
2024-06,8055.75,Tech
2024-07,8653.76,Tech
2024-08,7857.089,Tech
2024-09,6813.718,Tech
2024-10,6162.804,Tech
