date,average,industry
1991-04,6.452,Industrials
1991-05,6.369,Industrials
1991-06,6.618,Industrials
1991-07,6.648,Industrials
1991-08,6.747,Industrials
1991-09,6.62,Industrials
1991-10,6.625,Industrials
1991-11,6.571,Industrials
1991-12,6.41,Industrials
1992-01,7.134,Industrials
1992-02,7.142,Industrials
1992-03,7.06,Industrials
1992-04,7.175,Industrials
1992-05,7.272,Industrials
1992-06,7.214,Industrials
1992-07,7.145,Industrials
1992-08,7.119,Industrials
1992-09,7.029,Industrials
1992-10,6.975,Industrials
1992-11,7.195,Industrials
1992-12,7.728,Industrials
1993-01,7.814,Industrials
1993-02,7.855,Industrials
1993-03,8.204,Industrials
1993-04,8.546,Industrials
1993-05,8.773,Industrials
1993-06,8.896,Industrials
1993-07,9.05,Industrials
1993-08,9.124,Industrials
1993-09,9.011,Industrials
1993-10,9.005,Industrials
1993-11,9.2,Industrials
1993-12,9.64,Industrials
1994-01,9.844,Industrials
1994-02,10.071,Industrials
1994-03,10.146,Industrials
1994-04,9.553,Industrials
1994-05,9.492,Industrials
1994-06,9.752,Industrials
1994-07,9.746,Industrials
1994-08,10.04,Industrials
1994-09,10.252,Industrials
1994-10,10.121,Industrials
1994-11,9.975,Industrials
1994-12,10.043,Industrials
1995-01,10.37,Industrials
1995-02,10.578,Industrials
1995-03,11.112,Industrials
1995-04,11.804,Industrials
1995-05,12.226,Industrials
1995-06,12.712,Industrials
1995-07,13.288,Industrials
1995-08,13.219,Industrials
1995-09,13.734,Industrials
1995-10,13.59,Industrials
1995-11,14.273,Industrials
1995-12,15.31,Industrials
1996-01,15.494,Industrials
1996-02,16.425,Industrials
1996-03,16.552,Industrials
1996-04,16.448,Industrials
1996-05,16.78,Industrials
1996-06,17.519,Industrials
1996-07,17.428,Industrials
1996-08,18.204,Industrials
1996-09,18.692,Industrials
1996-10,19.685,Industrials
1996-11,19.263,Industrials
1996-12,19.228,Industrials
1997-01,19.668,Industrials
1997-02,19.983,Industrials
1997-03,19.903,Industrials
1997-04,19.666,Industrials
1997-05,21.468,Industrials
1997-06,22.902,Industrials
1997-07,25.077,Industrials
1997-08,24.769,Industrials
1997-09,24.738,Industrials
1997-10,24.337,Industrials
1997-11,23.202,Industrials
1997-12,23.77,Industrials
1998-01,23.852,Industrials
1998-02,25.656,Industrials
1998-03,26.045,Industrials
1998-04,26.638,Industrials
1998-05,26.192,Industrials
1998-06,25.465,Industrials
1998-07,25.914,Industrials
1998-08,23.172,Industrials
1998-09,21.727,Industrials
1998-10,22.53,Industrials
1998-11,25.096,Industrials
1998-12,24.165,Industrials
1999-01,24.219,Industrials
1999-02,24.233,Industrials
1999-03,25.191,Industrials
1999-04,27.113,Industrials
1999-05,28.064,Industrials
1999-06,27.619,Industrials
1999-07,29.38,Industrials
1999-08,28.942,Industrials
1999-09,29.038,Industrials
1999-10,28.308,Industrials
1999-11,29.798,Industrials
1999-12,30.99,Industrials
2000-01,31.13,Industrials
2000-02,28.598,Industrials
2000-03,29.266,Industrials
2000-04,31.832,Industrials
2000-05,32.14,Industrials
2000-06,31.421,Industrials
2000-07,31.824,Industrials
2000-08,33.462,Industrials
2000-09,34.704,Industrials
2000-10,34.502,Industrials
2000-11,34.437,Industrials
2000-12,34.886,Industrials
2001-01,33.392,Industrials
2001-02,33.929,Industrials
2001-03,31.687,Industrials
2001-04,32.664,Industrials
2001-05,35.661,Industrials
2001-06,34.122,Industrials
2001-07,31.955,Industrials
2001-08,30.724,Industrials
2001-09,26.958,Industrials
2001-10,27.905,Industrials
2001-11,29.256,Industrials
2001-12,29.82,Industrials
2002-01,30.078,Industrials
2002-02,30.863,Industrials
2002-03,32.961,Industrials
2002-04,31.596,Industrials
2002-05,31.067,Industrials
2002-06,30.53,Industrials
2002-07,28.893,Industrials
2002-08,29.6,Industrials
2002-09,27.837,Industrials
2002-10,26.024,Industrials
2002-11,26.243,Industrials
2002-12,26.263,Industrials
2003-01,26.053,Industrials
2003-02,24.507,Industrials
2003-03,24.714,Industrials
2003-04,26.12,Industrials
2003-05,26.871,Industrials
2003-06,28.212,Industrials
2003-07,28.328,Industrials
2003-08,29.439,Industrials
2003-09,30.186,Industrials
2003-10,30.214,Industrials
2003-11,30.979,Industrials
2003-12,32.704,Industrials
2004-01,34.333,Industrials
2004-02,34.111,Industrials
